table_name|cols
base_horillamailtemplate|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, body:text, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
base_jobposition|id:bigint, created_at:timestamp with time zone, is_active:boolean, job_position:character varying, created_by_id:integer, department_id_id:bigint, modified_by_id:integer
base_jobposition_company_id|id:bigint, jobposition_id:bigint, company_id:bigint
base_jobrole|id:bigint, created_at:timestamp with time zone, is_active:boolean, job_role:character varying, created_by_id:integer, job_position_id_id:bigint, modified_by_id:integer
base_jobrole_company_id|id:bigint, jobrole_id:bigint, company_id:bigint
base_multipleapprovalcondition|id:bigint, created_at:timestamp with time zone, is_active:boolean, condition_field:character varying, condition_operator:character varying, condition_value:character varying, condition_start_value:character varying, condition_end_value:character varying, company_id_id:bigint, created_by_id:integer, department_id:bigint, modified_by_id:integer
base_multipleapprovalmanagers|id:bigint, sequence:integer, employee_id:integer, reporting_manager:character varying, condition_id_id:bigint
base_notificationsound|id:bigint, sound_enabled:boolean, employee_id:bigint
base_penaltyaccounts|id:bigint, created_at:timestamp with time zone, is_active:boolean, minus_leaves:double precision, deduct_from_carry_forward:boolean, penalty_amount:double precision, created_by_id:integer, employee_id_id:bigint, late_early_id_id:bigint, leave_request_id_id:bigint, leave_type_id_id:bigint, modified_by_id:integer
base_rotatingshift|id:bigint, created_at:timestamp with time zone, is_active:boolean, name:character varying, additional_data:jsonb, created_by_id:integer, modified_by_id:integer, shift1_id:bigint, shift2_id:bigint
base_rotatingshiftassign|id:bigint, created_at:timestamp with time zone, is_active:boolean, start_date:date, next_change_date:date, based_on:character varying, rotate_after_day:integer, rotate_every_weekend:character varying, rotate_every:character varying, additional_data:jsonb, created_by_id:integer, current_shift_id:bigint, employee_id_id:bigint, modified_by_id:integer, next_shift_id:bigint, rotating_shift_id_id:bigint
base_rotatingworktype|id:bigint, created_at:timestamp with time zone, is_active:boolean, name:character varying, additional_data:jsonb, created_by_id:integer, modified_by_id:integer, work_type1_id:bigint, work_type2_id:bigint
base_rotatingworktypeassign|id:bigint, created_at:timestamp with time zone, is_active:boolean, start_date:date, next_change_date:date, based_on:character varying, rotate_after_day:integer, rotate_every_weekend:character varying, rotate_every:character varying, additional_data:jsonb, created_by_id:integer, current_work_type_id:bigint, employee_id_id:bigint, modified_by_id:integer, next_work_type_id:bigint, rotating_work_type_id_id:bigint
base_shiftrequest|id:bigint, created_at:timestamp with time zone, is_active:boolean, requested_date:date, reallocate_approved:boolean, reallocate_canceled:boolean, requested_till:date, description:text, is_permanent_shift:boolean, approved:boolean, canceled:boolean, shift_changed:boolean, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, previous_shift_id_id:bigint, reallocate_to_id:bigint, shift_id_id:bigint
base_shiftrequestcomment|id:bigint, created_at:timestamp with time zone, is_active:boolean, comment:text, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, request_id_id:bigint
base_shiftrequestcomment_files|id:bigint, shiftrequestcomment_id:bigint, baserequestfile_id:bigint
base_tags|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, color:character varying, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
